smiles,TC,SA,SC,atom_count
*CC(*)c1ccccc1C(=O)OC,0.173666667,3.837295398,2.089870635,14
*CC(*)c1ccccc1C(=O)OCC,0.181666667,3.711398666,2.190311028,15
*CC(*)c1ccccc1C(=O)OCCC,0.193,3.714071826,2.639670961,16
*CC(*)c1ccccc1C(=O)OC(C)C,0.173666667,3.790108434,2.467091064,16
*CC(*)c1ccccc1C(=O)OCCCC,0.195333333,3.610968998,2.624295737,17
*CC(*)c1ccccc1C(=O)OCC(C)C,0.169666667,3.732460288,2.38677197,17
*CC(*)c1ccccc1C(=O)OCCCCC,0.192333333,3.538396651,2.717138642,18
*CC(*)c1ccccc1C(=O)OCCC(C)C,0.193,3.666626503,3.041385899,18
*CC(*)c1ccccc1C(=O)OCCCCCC,0.205666667,3.485172624,2.83888191,19
*CC(*)c1ccccc1C(=O)Oc1ccccc1,0.169333333,3.321362271,2.351329457,19
*CC(*)c1ccccc1C(=O)OCCN(C)C,0.185333333,3.711714101,3.022018795,18
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,0.2315,3.613787885,3.089843411,18
*CC(*)c1ccccc1OC,0.194666667,3.922949527,2.400737779,12
*CC(*)c1ccccc1Cl,0.143666667,4.163283407,2.294767218,11
*CC(*)c1ccccc1F,0.174666667,4.187324946,2.407295058,11
*CC(*)c1cccc(C)c1,0.197333333,4.1790311,2.822879196,11
*CC(*)c1cccc(CC)c1,0.186,4.076918758,2.866700886,12
*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,0.195666667,3.04323388,3.140369224,22
*CC(*)c1cccc(Cl)c1,0.14175,4.203349561,2.331941777,11
*CC(*)c1cccc(F)c1,0.162333333,4.224672638,2.29773731,11
*CC(*)c1ccc(C)cc1,0.187333333,4.077169561,2.314815286,11
*CC(*)c1ccc(CC)cc1,0.201333333,3.954191485,2.499433175,12
*CC(*)c1ccc(C(C)C)cc1,0.221,3.921450074,2.591048259,13
*CC(*)c1ccc(CCCC)cc1,0.209666667,3.688362355,3.197522049,14
*CC(*)c1ccc(C(C)(C)C)cc1,0.184,3.8964427,2.517668305,14
*CC(*)c1ccc(C(C)CC)cc1,0.23,4.1713254,2.837898017,14
*CC(*)c1ccc(CCCCCC)cc1,0.241,3.508642315,3.338917198,16
*CC(*)c1ccc(CCCCCCCC)cc1,0.2675,3.391874153,3.338917198,18
*CC(*)c1ccc(CCCCCCCCC)cc1,0.277,3.348282784,3.338917198,19
*CC(*)c1ccc(CCCCCCCCCC)cc1,0.2825,3.312533036,3.338917198,20
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,0.3035,3.260217637,3.338917198,22
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,0.34,3.228118484,3.338917198,24
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,0.341,3.211585483,3.338917198,26
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,0.3765,3.207331128,3.338917198,28
*CC(*)c1ccc(-c2ccccc2)cc1,0.203,3.267400376,2.764095896,16
*CC(*)c1ccc(/C(C)=N/O)cc1,0.178,4.150007138,2.662936009,14
*CC(*)c1ccc(C(C)(C)O)cc1,0.231666667,4.147099249,2.70351459,14
*CC(*)c1ccc(C(C)(O)CC)cc1,0.226666667,4.465240241,2.929858284,15
*CC(*)c1ccc(COC)cc1,0.254,3.901488975,2.722398882,13
*CC(*)c1ccc(COCCC)cc1,0.245,3.756454871,2.638273194,15
*CC(*)c1ccc(COCCCCCC)cc1,0.252,3.492090443,2.774107518,18
*CC(*)c1ccc(COCCOCCCC)cc1,0.262,3.556975091,2.855900213,19
*CC(*)c1ccc(C(=O)N(C)C)cc1,0.246,3.766025036,2.928614891,15
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,0.213,3.620225171,2.89061844,17
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,0.132,3.382868723,2.771595819,18
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,0.225,3.443347611,2.659164001,20
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,0.24,3.486690443,3.184507886,18
*CC(*)c1ccc(C(=O)OC)cc1,0.203333333,3.7074039,2.257566943,14
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,0.266333333,3.425952885,2.758666899,19
*CC(*)c1ccc(I)cc1,0.131,4.4800511,2.229144347,11
*CC(*)c1ccc(N(C)C)cc1,0.249,4.033002601,2.485086921,13
*CC(*)c1ccc(OCC)cc1,0.254,3.77177359,2.58838613,13
*CC(*)c1ccc(OCCC)cc1,0.238,3.702410876,2.795840951,14
*CC(*)c1ccc(OCCCC)cc1,0.256,3.583183442,2.875655505,15
*CC(*)c1ccc(OCCC(C)C)cc1,0.248,3.640218329,2.832148912,16
*CC(*)c1ccc(C)cc1C,0.185666667,4.129150882,2.405744469,12
*CC(*)c1ccc(C(C)C)cc1C(C)C,0.198,3.986670228,2.947158,16
*CC(*)c1ccc(F)cc1C,0.141333333,4.210951363,2.66678826,12
*CC(*)c1ccc(Cl)cc1C,0.136666667,4.19318069,2.514462643,12
*CC(*)c1ccc(Cl)cc1Cl,0.11625,4.193777805,2.470472001,12
*CC(*)c1cc(C)ccc1C,0.173,4.132651363,2.553840964,12
*CC(*)c1cc(C(C)(C)C)ccc1C,0.163666667,4.007883527,2.783698565,15
*CC(*)c1cc(C(C)C)ccc1C(C)C,0.161666667,3.992155942,2.673435535,16
*CC(*)c1cc(Cl)ccc1Cl,0.112,4.209982132,2.561490435,12
*CC(*)c1cc(F)ccc1F,0.140333333,4.249335498,2.12656584,12
*CC(*)c1cc(C)ccc1F,0.171,4.19441819,2.363151301,12
*CC(*)c1cc(Br)ccc1OCCCC,0.149333333,3.784432315,2.397075466,16
*CC(*)c1cc(Br)ccc1OCC,0.124,3.974842361,2.183288741,14
*CC(*)c1cc(Br)ccc1OC,0.132,4.061929195,2.096859826,13
*CC(*)c1cc(Br)ccc1OCCC,0.136,3.908936002,2.473239692,15
*CC(*)c1cc(Br)ccc1OC(C)C,0.124,4.030805036,2.279720238,15
*CC(*)c1cc(Br)ccc1OCCCCC,0.1545,3.692322517,2.45138414,17
*CC(*)c1cc(Br)ccc1OCCC(C)C,0.1675,3.832950255,2.863136717,17
*CC(*)c1cc(C)cc(C)c1,0.18,4.24813694,2.583428823,12
*CC(*)c1ccc(C)c(C)c1,0.1905,4.119692228,2.43987012,12
*CC(*)c1ccc(Cl)c(C)c1,0.154,4.227432613,2.644022307,12
*CC(*)c1ccc(Cl)c(Cl)c1,0.114,4.189658575,2.513574668,12
*CC(*)c1ccc(Cl)c(F)c1,0.1275,4.293457132,2.514140111,12
*CC(*)c1c(C)cc(C)cc1C,0.167,4.203931509,2.406710412,13
*CC(*)c1cc(C)c(C)cc1C,0.2095,4.186416124,2.704355036,13
